latitude,longitude,people,rooms,review.num,ratings.old,superhost,no.private,living,room.den,review.size,rating
41.793156,-87.591914,4,4,10,96,0,0,1,1,1,36
41.899071,-87.633213,2,1,3,96,0,0,1,2,1,36
41.90551,-87.631264,8,5,15,96,0,0,1,1.6,1,36
