neighbourhood_cleansed,id,price,latitude,longitude,people,rooms,review.num,ratings.old,superhost,no.private,living
Hyde Park,2384,50,41.7888649,-87.58670891,1,1,133,100,1,0,0
South Lawndale,4505,120,41.85495262,-87.69696179,7,3,363,96,1,0,1
Lincoln Park,6715,255,41.92926222,-87.66009125,8,4,93,90,0,0,1
Lincoln Park,9811,150,41.91768924,-87.63787944,4,1,30,92,0,0,1
Hyde Park,10610,35,41.79708495,-87.59194894,2,1,31,86,0,0,0
Lincoln Park,10945,215,41.91182685,-87.63999816,4,2,8,93,0,0,1
Near North Side,12068,99,41.9045209,-87.63320022,2,1,8,93,0,0,1
Lincoln Park,12140,289,41.92335308,-87.64950966,2,1,4,100,0,0,0
West Town,22362,99,41.89616805,-87.66041074,4,2,9,93,0,0,1
Lake View,22651,185,41.94910517,-87.65790583,7,3,170,91,0,0,1
Lincoln Park,24833,99,41.92679107,-87.65521134,3,0,37,85,0,0,1
Lake View,25267,105,41.94750674,-87.65928449,7,3,163,90,0,0,1
Lincoln Park,25269,115,41.9142263,-87.63846122,7,2,170,85,0,0,1
Lincoln Park,25879,99,41.92693453,-87.65752711,6,2,43,86,0,0,1
Uptown,37738,74,41.97384553,-87.66538939,2,1,237,100,1,0,0
Near North Side,39742,75,41.8937749,-87.63465211,2,1,448,94,1,0,0
Lincoln Park,44020,80,41.9267303,-87.65730729,6,2,50,80,0,0,1
Lincoln Park,46151,75,41.91330636,-87.63964488,3,1,219,87,0,0,1
Lincoln Park,46154,65,41.91287206,-87.63978767,3,1,209,89,0,0,1
Lake View,53497,95,41.9354095,-87.66711359,7,2,69,83,0,0,1
Lincoln Park,56802,155,41.91264188,-87.63979374,6,2,237,89,0,0,1
West Town,71930,59,41.89686555,-87.67988892,2,1,47,96,1,0,0
Uptown,79101,180,41.96792406,-87.65756861,6,1,145,96,1,0,0
Logan Square,80640,155,41.92462101,-87.70468435,4,2,47,97,0,0,1
West Town,84042,60,41.89693077,-87.68032886,2,1,43,97,1,0,0
Uptown,110705,99,41.96930174,-87.65621311,2,1,128,97,1,0,0
Uptown,126280,48,41.96803815,-87.65122779,1,1,135,98,1,0,0
West Town,133262,65,41.89242541,-87.68078222,2,2,32,98,0,0,1
Lake View,144840,225,41.9407942,-87.65763171,8,3,2,90,0,0,1
North Center,145659,275,41.94363982,-87.68154739,8,3,10,92,0,0,1
Lincoln Park,145690,475,41.91350805,-87.63929446,10,4,35,93,0,0,1
Lake View,165952,198,41.94274277,-87.67321401,4,2,57,91,0,0,1
North Center,166667,125,41.9427444,-87.67377761,3,1,75,90,0,0,1
Lake View,166706,280,41.94221334,-87.6732679,8,3,21,82,0,0,1
West Town,172616,145,41.89752659,-87.67315488,3,2,56,96,0,0,1
Irving Park,175511,67,41.96011818,-87.72157979,4,1,16,96,0,0,1
Portage Park,184764,85,41.94325158,-87.75403381,2,1,158,96,0,0,0
Logan Square,189821,150,41.92972929,-87.70119754,5,2,386,99,1,0,1
West Town,192652,70,41.9013595,-87.679734,2,1,298,95,0,0,0
North Center,198135,44,41.95935102,-87.67963451,2,1,141,99,1,0,0
Pullman,207218,90,41.68830467,-87.60892493,3,1,229,98,1,0,1
West Town,221109,115,41.89272704,-87.65653716,3,1,106,96,0,0,1
Logan Square,225314,75,41.92542935,-87.69592682,1,1,18,99,0,0,0
Lincoln Park,228273,109,41.9312564,-87.65227338,2,1,51,100,1,0,0
Uptown,230836,125,41.96331169,-87.66088494,2,1,4,90,0,0,0
Irving Park,233933,55,41.95602263,-87.72780856,2,1,130,96,0,0,0
Lincoln Park,234442,85,41.91336569,-87.63918044,3,1,197,88,0,0,1
Uptown,236792,185,41.9593949,-87.65440933,4,2,49,99,1,0,1
Edgewater,241514,55,41.99075202,-87.66556963,2,1,141,98,1,0,0
Lincoln Park,242751,75,41.91290649,-87.63838881,4,1,231,89,0,0,1
Uptown,248791,90,41.96797301,-87.65791273,2,2,90,98,1,0,0
Near South Side,250354,170,41.86050783,-87.62398901,2,1,39,97,0,0,1
Loop,257601,25,41.87792373,-87.62513551,2,1,380,96,1,0,0
West Ridge,258253,60,42.00692144,-87.68437535,2,0,16,99,0,0,1
Near North Side,261509,149,41.90314235,-87.63493569,2,1,61,97,0,0,1
North Center,265238,75,41.96084084,-87.68462971,2,1,0,,0,0,1
Logan Square,267646,97,41.92716147,-87.70470573,2,1,126,99,1,0,0
Chatham,272728,40,41.72762917,-87.6130718,2,1,209,94,0,0,0
Near West Side,275496,175,41.88622735,-87.64040211,6,3,10,82,0,0,1
Edgewater,289689,25,41.97793863,-87.6576357,1,1,56,95,0,0,0
Logan Square,289884,125,41.92410783,-87.68525131,4,1,78,96,1,0,0
Bridgeport,290155,131,41.82701785,-87.63966882,6,3,32,95,1,0,1
Woodlawn,298321,48,41.78215833,-87.59026583,3,1,44,96,0,0,0
Edgewater,308331,65,41.98566814,-87.6604964,2,1,31,95,0,0,0
Bridgeport,312192,142,41.82767016,-87.63959057,6,2,26,95,1,0,1
Albany Park,313227,85,41.96331303,-87.70915598,2,1,47,98,0,0,1
Lincoln Park,325842,379,41.92026289,-87.6589159,6,5,25,98,0,0,1
Kenwood,345075,85,41.8077042,-87.59435759,2,1,211,99,1,0,0
Hyde Park,349265,375,41.8008596,-87.58948398,7,4,8,100,0,0,1
Lake View,350347,136,41.9398563,-87.65472987,4,2,394,98,1,0,1
West Town,372929,295,41.89862159,-87.65597415,12,3,173,96,1,0,1
Logan Square,375891,50,41.92498566,-87.70625132,2,1,73,98,0,0,0
Near North Side,385836,85,41.9075735,-87.6358078,5,1,248,90,0,0,1
Lincoln Park,387336,230,41.92911991,-87.65957776,7,3,52,90,0,0,1
Douglas,395257,40,41.82869303,-87.62057772,2,1,9,93,0,0,0
Rogers Park,397472,71,42.01454766,-87.66510666,6,2,306,86,0,0,1
Rogers Park,408267,45,42.01855143,-87.6678223,2,1,49,98,1,0,0
Rogers Park,408268,45,42.01815148,-87.6683673,2,1,60,98,1,0,0
West Town,422214,250,41.89843164,-87.66659355,16,3,111,98,0,0,1
Loop,438850,25,41.87793982,-87.62465301,2,1,245,96,1,0,0
West Town,446474,175,41.90095192,-87.68181154,5,3,4,95,0,0,1
Logan Square,464581,49,41.92450711,-87.6938524,4,1,517,96,1,0,1
Lower West Side,477733,200,41.85329393,-87.66539433,8,4,156,96,0,0,1
Avondale,479086,20,41.93244952,-87.71528138,7,1,149,94,0,1,0
Uptown,484898,225,41.97053392,-87.67266978,6,3,14,95,0,0,1
West Town,488097,60,41.9117341,-87.67310427,2,1,14,96,1,0,0
Rogers Park,496809,85,42.0043515,-87.67500775,2,1,36,99,0,0,0
Lincoln Square,507517,95,41.96713685,-87.69610722,4,1,244,98,1,0,1
Lake View,537419,130,41.94286416,-87.63919089,1,1,28,94,0,0,0
West Town,541535,65,41.89314875,-87.68033274,3,2,22,94,0,0,1
Logan Square,542067,140,41.93065451,-87.70088542,4,2,234,97,1,0,1
Grand Boulevard,548905,75,41.82292602,-87.61558983,3,1,202,97,1,0,1
West Town,555140,115,41.90599986,-87.69500651,5,3,196,94,0,0,1
Lake View,573540,490,41.94284298,-87.63918952,3,2,35,96,0,0,1
Lincoln Square,584590,75,41.9636434,-87.6838246,3,1,42,90,1,0,0
West Town,585353,69,41.88956211,-87.66267336,3,1,105,91,0,0,0
West Town,585356,74,41.8899816,-87.66239843,4,1,104,89,0,0,0
Forest Glen,589871,225,41.9932438,-87.75699454,7,3,6,97,1,0,1
West Town,589939,83,41.89049179,-87.66259975,4,1,55,91,0,1,0
North Center,611839,40,41.93537398,-87.67946487,1,1,106,96,1,0,0
West Town,628149,59,41.89051757,-87.66085293,2,1,61,93,0,0,0
West Town,629745,129,41.89375425,-87.66545245,5,2,201,96,0,0,1
Edgewater,634310,65,41.99666559,-87.6621306,2,1,77,98,1,0,0
Lake View,640841,250,41.94241592,-87.67134394,4,2,14,100,1,0,1
West Town,642053,199,41.90567432,-87.67311053,4,1,8,89,0,0,0
West Town,642065,249,41.90686277,-87.67318815,6,3,29,97,0,0,0
Near North Side,650894,249,41.90959271,-87.62541146,2,1,11,83,0,0,1
Forest Glen,651742,75,41.9924364,-87.75569095,2,1,48,99,1,0,0
Forest Glen,662034,65,41.9920131,-87.75719426,2,1,48,99,1,0,0
Lincoln Park,668262,130,41.93173074,-87.65047216,2,1,8,95,1,0,1
Lake View,675641,54,41.94301272,-87.65064139,1,1,315,95,1,0,0
West Ridge,681842,50,41.99348104,-87.68120679,1,1,20,97,0,0,0
West Town,696395,75,41.90112109,-87.66521321,2,1,21,94,0,0,0
Near North Side,697634,99,41.90302315,-87.63498932,4,2,148,97,0,0,1
Lincoln Park,699284,800,41.92929141,-87.64894838,14,6,42,93,0,0,1
West Town,713431,119,41.90893541,-87.69213282,10,3,284,87,0,0,1
Lincoln Square,722570,139,41.97483913,-87.69196443,5,2,24,100,0,0,1
West Town,724656,35,41.90018914,-87.6986225,2,1,153,92,0,0,0
West Town,724895,44,41.88994893,-87.66095577,2,1,103,87,0,0,0
Lake View,726376,99,41.93932075,-87.6521778,2,1,509,94,0,0,1
Logan Square,727847,60,41.92254736,-87.70292721,2,2,62,86,0,0,0
Logan Square,731232,150,41.9266907,-87.6990017,6,3,110,98,0,0,1
Lincoln Square,739495,99,41.97846957,-87.68086543,4,2,152,97,1,0,1
Logan Square,755701,135,41.92901899,-87.72004517,4,2,17,94,0,0,1
Near West Side,764856,159,41.88722108,-87.64993125,2,1,146,97,0,0,1
North Center,773127,84,41.94994021,-87.6819956,2,1,128,96,1,0,0
West Town,780336,70,41.89854375,-87.67446623,2,1,161,97,0,0,0
Lake View,783359,103,41.94884279,-87.64904622,3,1,11,100,0,0,1
Uptown,789429,99,41.96192645,-87.66237728,2,1,0,,0,0,0
Logan Square,789670,225,41.91660636,-87.67159119,4,2,0,,0,0,0
Lincoln Square,789867,20,41.9641318,-87.67595081,3,1,162,95,1,0,0
Uptown,790016,299,41.96045928,-87.66345812,5,3,16,95,0,0,1
West Ridge,790934,70,42.01562199,-87.68818364,2,1,133,93,1,1,0
Lower West Side,822313,60,41.85306425,-87.68209078,5,2,130,88,0,0,1
West Town,824518,130,41.90212918,-87.67598206,4,1,86,98,1,0,1
Lincoln Square,834943,90,41.96164109,-87.6833441,4,2,13,96,0,0,1
Near West Side,861786,65,41.86694414,-87.65350108,3,1,257,97,1,0,0
Lincoln Park,863120,85,41.92169542,-87.65958632,2,3,69,99,1,0,0
West Town,873628,200,41.89396863,-87.6497538,2,1,81,99,0,0,0
Lincoln Park,887038,150,41.92630414,-87.65567284,4,2,36,85,0,0,1
Logan Square,903996,110,41.9264933,-87.71379559,2,1,121,100,1,0,0
Humboldt Park,909096,400,41.91105363,-87.70926949,11,3,183,96,1,0,1
West Town,918314,50,41.91138677,-87.68516766,2,1,0,,0,0,0
Loop,921884,25,41.88086405,-87.62466713,2,1,134,95,1,0,0
West Town,927327,1250,41.90528687,-87.68346941,8,5,24,100,0,0,1
Lincoln Park,929914,115,41.91316111,-87.63813123,2,0,239,98,1,0,1
East Garfield Park,931105,75,41.88449048,-87.69659262,2,1,22,98,0,0,0
West Town,949514,75,41.90677328,-87.66788036,2,1,110,96,1,0,0
Lincoln Square,956612,85,41.9674842,-87.69774799,3,1,39,93,0,0,0
West Town,960326,302,41.89504804,-87.65448849,8,3,191,99,1,0,1
Edgewater,979841,69,41.99383635,-87.67036986,2,1,163,100,1,0,0
Rogers Park,979926,59,42.0062318,-87.66794356,2,1,201,99,1,0,0
Rogers Park,979942,59,42.00425793,-87.66692593,2,1,188,98,1,0,0
Rogers Park,983640,159,42.00380766,-87.67082081,4,2,139,98,1,0,1
Near North Side,984850,749,41.90465183,-87.63590814,10,3,88,97,1,0,1
West Town,1016539,119,41.90659218,-87.6953817,10,3,249,88,0,0,1
Near North Side,1020810,100,41.89430015,-87.62609288,2,1,24,95,1,0,1
North Lawndale,1027405,45,41.854321,-87.70769386,4,1,6,83,0,0,0
North Lawndale,1027463,45,41.85423048,-87.7078428,4,4,6,87,0,0,0
North Lawndale,1027741,45,41.85455481,-87.70768457,4,3,2,90,0,0,0
Oakland,1032943,250,41.81995571,-87.59977836,13,4,165,96,1,0,1
Lake View,1056430,79,41.94375728,-87.65163605,2,1,279,97,1,0,0
Lake View,1080532,114,41.93396049,-87.64108428,4,2,21,94,0,0,1
Near South Side,1083987,85,41.85278159,-87.6245315,3,1,20,100,1,0,1
Uptown,1096191,60,41.97348881,-87.65334075,2,1,39,95,0,0,1
Austin,1101458,55,41.88654647,-87.77085898,6,2,166,94,1,0,0
Rogers Park,1113259,55,42.01761346,-87.67986647,2,1,82,92,0,0,0
East Garfield Park,1129741,80,41.88281748,-87.72026421,2,2,0,,0,0,1
Lake View,1138252,375,41.93749586,-87.65016589,4,2,5,100,0,0,1
Rogers Park,1138514,59,42.00527305,-87.66405308,2,1,24,90,0,0,1
Lake View,1141045,54,41.94664894,-87.65516897,1,1,306,96,1,0,0
Lincoln Park,1171860,50,41.92628299,-87.64025891,2,1,425,94,0,0,1
Lake View,1183249,99,41.93949541,-87.64483466,2,1,400,93,0,0,1
Near West Side,1185749,99,41.87086378,-87.68304776,6,3,254,98,1,0,1
West Town,1195259,135,41.91095,-87.67783247,4,2,161,98,1,0,1
Lake View,1217096,95,41.94673548,-87.64923681,2,1,283,95,1,0,0
Portage Park,1229238,250,41.94734815,-87.75761699,10,4,77,87,0,0,1
Portage Park,1229267,50,41.9455552,-87.75419342,2,1,8,86,0,0,0
Lincoln Square,1249397,130,41.97008926,-87.67423208,5,3,10,96,0,0,1
West Town,1267060,220,41.8923945,-87.66545611,3,1,17,100,0,0,1
West Town,1291440,75,41.90143199,-87.67835795,2,1,156,94,0,0,0
Near West Side,1304049,100,41.87189819,-87.68486342,2,1,91,93,1,0,0
Near North Side,1313143,265,41.89337773,-87.61856517,2,1,83,100,1,0,1
Lincoln Park,1321332,500,41.92912707,-87.66920677,16,4,52,99,1,0,1
Near North Side,1324435,10,41.90328584,-87.62847971,2,1,176,92,1,0,1
West Town,1336364,90,41.89933608,-87.68442697,4,1,94,93,0,0,1
Edgewater,1346414,120,41.9828805,-87.66707753,2,1,93,89,0,0,1
Logan Square,1356190,90,41.92082668,-87.68896496,2,1,187,99,1,0,0
Washington Park,1359312,73,41.79752546,-87.62155152,2,1,48,98,0,0,0
Lake View,1361421,80,41.94633127,-87.65506358,2,1,14,85,0,0,0
Irving Park,1369384,60,41.95563846,-87.71154309,2,1,121,94,1,0,0
Uptown,1392594,168,41.96952005,-87.67239241,8,3,20,92,0,0,1
Bridgeport,1398616,49,41.83811795,-87.65230955,2,1,240,96,1,0,0
Edgewater,1427950,120,41.98495891,-87.66806287,2,1,62,99,1,0,1
Oakland,1428589,37,41.82781345,-87.6052333,3,1,255,81,0,0,0
Lincoln Square,1431467,150,41.97100922,-87.68877623,4,2,26,95,0,0,1
Lincoln Park,1434078,290,41.9298926,-87.64103255,6,2,13,97,1,0,1
West Ridge,1461451,25,42.01589782,-87.6882683,1,1,134,92,1,1,0
Norwood Park,1461959,75,41.98399277,-87.82183432,1,1,12,100,0,0,0
Grand Boulevard,1468342,65,41.8126603,-87.61586485,2,1,100,92,0,0,0
West Ridge,1475647,25,42.01701339,-87.68718263,1,1,80,95,1,1,0
Uptown,1488883,70,41.95523106,-87.65385461,2,1,36,100,1,0,0
Lincoln Park,1502674,158,41.9130678,-87.64012371,5,2,18,94,0,0,1
Lincoln Park,1502700,425,41.91405968,-87.63934359,10,4,11,88,0,0,1
Lincoln Square,1503962,108,41.98067344,-87.68874928,6,1,61,93,0,0,1
Avondale,1510097,97,41.93275443,-87.71644904,4,2,151,96,0,0,1
West Town,1523904,120,41.90491142,-87.66601487,2,1,4,90,0,0,0
West Town,1524276,95,41.90586642,-87.66479089,2,1,32,96,0,0,0
West Town,1524306,245,41.90612775,-87.66607432,4,2,7,100,0,0,1
Oakland,1541692,62,41.82935501,-87.60480318,2,1,73,93,0,0,0
Beverly,1554433,90,41.71347553,-87.67195462,2,1,128,97,1,0,0
Lower West Side,1573401,65,41.85763176,-87.66236472,4,1,65,99,1,0,0
Near North Side,1584422,688,41.90606789,-87.64879609,10,3,23,98,1,0,1
Near North Side,1584509,450,41.90697302,-87.62941222,11,5,43,95,0,0,1
Logan Square,1587078,149,41.91638217,-87.68421723,4,0,244,99,1,0,1
Rogers Park,1591370,90,42.01114474,-87.67634326,6,1,56,96,1,0,1
Lake View,1614802,60,41.93574268,-87.66225183,3,1,207,98,1,0,0
Lower West Side,1623463,80,41.85899658,-87.64619716,5,2,29,100,0,0,1
Uptown,1641601,69,41.97281705,-87.67256711,2,1,221,95,1,0,0
Lincoln Square,1641696,79,41.96811348,-87.69570703,2,1,39,98,0,0,0
Rogers Park,1648535,70,42.01598983,-87.66901336,6,2,97,85,0,0,1
West Town,1651829,92,41.89232402,-87.64724514,2,1,7,94,0,0,1
Mckinley Park,1656336,95,41.82515523,-87.67455755,4,2,222,94,0,0,1
Uptown,1656439,250,41.95607587,-87.64535784,4,2,21,97,1,0,1
West Town,1663673,99,41.8939826,-87.68606401,4,2,245,98,1,0,1
West Town,1668481,82,41.89664875,-87.69719041,4,2,102,97,1,0,1
Rogers Park,1672647,109,41.99892077,-87.67322142,7,2,189,92,0,0,1
Lake View,1678422,75,41.93464727,-87.65754491,2,1,24,87,0,0,0
West Town,1721045,79,41.88998967,-87.66253612,2,1,64,93,0,0,0
Rogers Park,1721109,100,41.99968674,-87.67115873,8,3,129,82,0,0,1
Hyde Park,1746734,100,41.79984189,-87.59464747,2,1,289,93,0,0,1
Lake View,1759266,250,41.93485038,-87.65965035,6,2,26,95,1,0,1
Lower West Side,1759389,67,41.84773418,-87.68234504,1,0,104,99,1,0,0
Lower West Side,1778910,69,41.85674734,-87.65501478,10,2,342,83,0,0,1
Avondale,1784523,93,41.93998402,-87.70271904,4,2,82,99,1,0,1
West Town,1785039,129,41.90761732,-87.68575306,4,2,240,98,1,0,1
Lake View,1796355,149,41.93610513,-87.65440505,6,2,35,93,0,0,1
West Town,1798506,289,41.91129027,-87.68337194,7,3,3,100,0,0,1
Logan Square,1805794,110,41.91840819,-87.70860631,2,1,34,97,0,0,1
Woodlawn,1810118,59,41.77891556,-87.59886221,3,1,249,97,1,0,0
Hyde Park,1837153,115,41.79962669,-87.59476784,2,1,40,89,0,0,1
Lincoln Park,1854000,130,41.93282818,-87.64315195,2,1,146,92,0,0,1
West Town,1857003,70,41.9094068,-87.68353967,2,1,433,95,0,0,0
West Town,1861548,125,41.91055714,-87.67958723,2,1,42,96,0,0,0
Near North Side,1885107,64,41.90214042,-87.63477758,2,0,10,91,0,0,1
Rogers Park,1900901,80,42.00399979,-87.67503349,1,1,27,99,0,0,0
Irving Park,1921670,90,41.94763671,-87.7081721,4,2,203,96,1,0,1
Near South Side,1944802,190,41.8545254,-87.62052274,4,2,14,94,1,0,1
Lincoln Park,1954633,90,41.9310091,-87.65878467,2,1,137,98,1,0,0
Lake View,1960332,469,41.94326885,-87.66080793,6,3,1,100,0,0,1
Lake View,1964520,195,41.95100362,-87.66203123,6,3,7,97,0,0,1
Lake View,1965410,399,41.94852593,-87.66162229,9,5,8,100,0,0,1
Grand Boulevard,1984545,419,41.81832346,-87.61462547,3,3,4,80,1,0,1
West Town,1989590,55,41.91344447,-87.69030794,2,1,162,96,1,0,0
Rogers Park,1989842,75,41.99831475,-87.66428005,2,1,70,99,0,0,0
Lake View,1995991,65,41.9453029,-87.65083559,4,2,224,98,1,0,1
Near North Side,2005044,221,41.90462784,-87.6309582,7,2,60,95,0,0,1
Logan Square,2011301,75,41.92055318,-87.68743499,2,1,149,92,0,0,0
West Town,2012443,55,41.89253017,-87.66047827,2,1,166,90,0,0,0
Norwood Park,2020081,80,41.9750018,-87.81464622,2,1,21,100,0,0,1
Lincoln Park,2026439,98,41.93266741,-87.64028183,3,2,4,90,0,0,1
Uptown,2051505,220,41.96267334,-87.66526009,5,2,26,98,0,0,1
West Town,2062638,295,41.89669608,-87.65733869,10,3,121,95,1,0,1
Douglas,2075284,60,41.82795513,-87.61841316,2,1,105,91,0,0,0
Oakland,2075573,38,41.8292618,-87.60858623,4,1,187,79,0,0,0
Lower West Side,2087914,90,41.85658299,-87.65422952,3,0,78,93,1,0,1
Lincoln Park,2093894,85,41.91765536,-87.65337165,1,1,206,93,0,0,0
Lake View,2103986,75,41.93394579,-87.63922902,2,1,115,96,0,0,0
East Garfield Park,2139407,83,41.88744587,-87.70783669,5,1,327,92,0,0,1
Lake View,2140051,109,41.9396166,-87.64334485,4,2,45,96,1,0,1
Norwood Park,2163634,95,41.9946151,-87.77950414,5,2,142,99,1,0,1
Lincoln Park,2178033,135,41.92402518,-87.63782617,3,1,113,96,1,0,1
Lower West Side,2189522,67,41.84720763,-87.67932414,1,1,121,99,1,0,0
Logan Square,2198953,120,41.92323122,-87.71348165,5,2,77,96,0,0,1
West Town,2204244,73,41.90991895,-87.68411149,2,1,408,94,0,0,0
West Town,2212823,249,41.89308753,-87.65061847,4,2,50,100,0,0,1
West Town,2227179,100,41.89984396,-87.67640162,2,1,38,97,0,0,1
Near North Side,2238443,150,41.90098553,-87.63384596,4,1,29,95,1,0,1
West Town,2242041,60,41.89932143,-87.66912723,2,1,53,98,1,0,0
Near South Side,2269742,197,41.85958965,-87.62234248,3,1,24,93,0,0,1
Kenwood,2298310,29,41.80378699,-87.6038621,2,1,16,98,0,0,0
Lake View,2305194,96,41.94699269,-87.65502941,4,1,32,90,0,0,0
Lake View,2305230,27,41.94655533,-87.65508659,1,1,69,87,0,1,0
Lake View,2305280,50,41.94661878,-87.6554068,1,1,80,91,0,1,0
Lake View,2320101,60,41.94703187,-87.65496183,2,1,28,93,0,0,0
Lake View,2364469,25,41.94616914,-87.65471798,1,1,64,89,0,1,0
West Town,2396340,302,41.89648365,-87.65651338,8,3,261,99,1,0,1
Near West Side,2429295,79,41.86755506,-87.68661934,2,1,40,94,1,0,0
North Center,2437230,105,41.94263588,-87.68335842,2,1,62,97,1,0,1
Near West Side,2453598,160,41.88770075,-87.64275565,4,1,7,91,1,0,1
Lake View,2458029,113,41.93501498,-87.64818672,1,1,7,100,0,0,0
Portage Park,2459132,95,41.96744572,-87.7518085,8,1,67,100,0,0,0
Edgewater,2465222,45,41.9952595,-87.66545512,2,1,20,94,1,0,0
Lower West Side,2473938,60,41.85104749,-87.67941891,2,1,108,96,0,0,0
Lincoln Square,2479175,80,41.96292843,-87.69358112,2,1,134,94,1,0,1
Near North Side,2483380,400,41.90879895,-87.63947069,5,2,16,93,0,0,1
West Town,2483579,375,41.89930104,-87.66582058,10,3,153,96,0,0,1
Hyde Park,2487272,110,41.79667357,-87.58997909,2,1,2,70,0,0,0
Near North Side,2496594,161,41.89008975,-87.62304293,2,1,4,100,1,0,1
West Town,2499596,129,41.90026634,-87.68054559,5,2,122,96,1,0,1
Uptown,2512850,4137,41.97487205,-87.67027101,2,1,214,96,1,0,0
West Town,2515100,40,41.89907223,-87.68084968,2,1,170,94,1,0,0
East Garfield Park,2515629,25,41.88342024,-87.69617541,2,1,98,95,0,0,0
Washington Park,2519442,80,41.79598568,-87.62355245,2,1,66,95,1,0,0
North Lawndale,2564678,45,41.85448251,-87.70787498,1,1,3,50,0,0,0
Humboldt Park,2570620,60,41.89825789,-87.70335614,4,0,401,97,1,0,1
Near South Side,2583929,129,41.85370234,-87.62338147,3,1,16,98,1,0,1
West Town,2585378,88,41.90771898,-87.68121496,2,1,17,100,0,0,0
Near West Side,2591510,80,41.88660782,-87.64413044,1,1,23,94,0,0,0
Kenwood,2604345,26,41.80457965,-87.60508459,2,1,18,86,0,0,0
Hyde Park,2604454,165,41.78977182,-87.58915969,6,3,76,98,1,0,1
North Center,2612989,150,41.96089264,-87.67980648,4,3,23,87,1,0,1
Lincoln Park,2658946,95,41.91720757,-87.63629642,8,2,323,98,1,0,1
Uptown,2659670,975,41.96821278,-87.65626389,16,5,96,97,1,0,1
Loop,2661465,150,41.88627308,-87.61772287,3,1,25,94,1,0,1
Near North Side,2666755,57,41.89092934,-87.61930223,2,0,2,100,0,0,1
Logan Square,2670669,85,41.92410445,-87.70589829,2,1,33,97,0,0,1
Edgewater,2671680,85,41.9870529,-87.66228253,2,1,66,99,1,0,0
Near West Side,2688739,87,41.86759465,-87.6820395,2,1,31,93,1,0,0
Logan Square,2693387,99,41.91432191,-87.67370424,9,3,49,95,1,0,1
Lincoln Park,2695259,159,41.93226572,-87.64879231,4,2,33,93,0,0,1
Near South Side,2715815,130,41.85445048,-87.62432088,4,1,14,96,1,0,1
Morgan Park,2730613,79,41.68612435,-87.67735244,4,1,117,97,0,0,1
Morgan Park,2731202,76,41.68581864,-87.68066797,4,2,108,95,0,0,1
Portage Park,2737979,49,41.94475239,-87.76953452,2,1,34,96,0,0,0
Rogers Park,2764548,96,42.0059792,-87.67210972,2,1,119,98,1,0,1
Douglas,2778030,70,41.82733523,-87.61870905,2,1,145,93,0,0,0
Lincoln Park,2782345,119,41.92984777,-87.6435345,2,1,60,93,1,0,1
Lake View,2817608,380,41.94278185,-87.67221493,6,3,12,87,0,0,1
Near South Side,2819982,250,41.85234968,-87.62159519,5,2,8,91,1,0,1
Dunning,2824585,39,41.9443512,-87.79968632,2,1,13,97,0,0,0
Near South Side,2832376,129,41.85441393,-87.62151284,4,1,7,93,1,0,1
Edgewater,2837123,100,41.98969976,-87.66382973,3,2,3,96,0,0,1
North Center,2837146,128,41.94794984,-87.68314252,9,2,141,97,1,0,1
West Town,2844042,99,41.89425296,-87.68467553,4,1,140,98,1,0,1
Oakland,2874467,38,41.82871951,-87.60826372,3,1,175,84,0,0,0
West Town,2874486,210,41.90242582,-87.67027885,5,2,45,99,1,0,1
Avondale,2879976,68,41.93758242,-87.71240246,2,1,206,98,1,0,0
West Lawn,2907500,34,41.78354823,-87.72893646,2,1,295,97,1,0,0
West Town,2934604,110,41.90440217,-87.67144894,2,1,205,100,1,0,1
Edgewater,2948367,50,41.99176678,-87.66410162,2,1,4,95,0,0,0
Lincoln Park,2979322,100,41.92049372,-87.65789307,2,1,3,93,0,0,1
Hyde Park,2989466,115,41.79628842,-87.59162372,4,0,82,96,1,0,1
Near West Side,2997966,243,41.87327452,-87.68843999,6,2,9,87,0,0,1
Logan Square,3010785,475,41.9145966,-87.69045025,7,3,87,97,1,0,1
Jefferson Park,3030917,98,41.97924188,-87.77144545,5,1,173,92,0,0,0
South Shore,3031898,98,41.77292719,-87.56951394,2,2,207,97,1,0,1
Logan Square,3040542,65,41.92091539,-87.70067908,4,2,3,100,0,0,1
Near North Side,3052275,94,41.90263056,-87.64155018,2,1,68,93,0,0,0
Logan Square,3053081,125,41.91548257,-87.67450704,3,1,173,98,1,0,1
Near South Side,3061036,85,41.85297505,-87.6276122,3,1,374,96,1,0,0
Lincoln Square,3068787,150,41.96315298,-87.68039768,4,2,83,99,0,0,1
West Town,3073477,90,41.91180323,-87.70133033,2,1,4,100,0,0,1
Logan Square,3088192,145,41.93155542,-87.71161348,8,2,302,99,1,0,1
North Center,3094937,70,41.94424971,-87.68671377,5,2,17,94,0,0,1
Near West Side,3105733,97,41.86822756,-87.68482888,2,1,21,89,1,0,0
Lower West Side,3138825,69,41.85682693,-87.65248967,12,2,323,82,0,0,1
Oakland,3143254,39,41.8287529,-87.60825695,4,1,227,83,0,0,0
Logan Square,3151779,40,41.92475761,-87.68563918,1,1,16,93,0,0,0
Logan Square,3172794,1200,41.91704143,-87.69375214,16,6,37,97,0,0,1
Edgewater,3180755,100,41.99693846,-87.66423189,5,2,326,95,1,0,1
Lake View,3217145,140,41.93493079,-87.64619524,2,1,236,93,0,0,0
West Town,3241929,172,41.90226108,-87.67969966,2,1,177,98,1,0,0
