neighbourhood_cleansed,id,price,latitude,longitude,people,rooms,review.num,ratings.old,superhost,no.private,living
Near West Side,26053766,19,41.87879822,-87.64114652,2,1,27,87,0,0,0
Near West Side,26054160,19,41.87558989,-87.6412514,2,1,27,93,0,0,0
Armour Square,26057376,45,41.85112222,-87.63385709,2,1,5,52,0,0,0
Lincoln Park,26057880,249,41.92230249,-87.63892429,6,2,13,92,0,0,1
Lake View,26059783,160,41.94294753,-87.6518047,4,2,5,80,0,0,1
Lake View,26060078,102,41.94252375,-87.64334815,2,1,10,96,0,0,1
West Town,26061168,150,41.91091745,-87.67501348,4,2,5,100,1,0,1
Loop,26062264,189,41.88526517,-87.62372098,3,1,8,68,0,0,1
West Town,26065420,99,41.89807941,-87.69186328,8,3,15,97,0,0,1
Near South Side,26066746,189,41.86260104,-87.627371,4,1,12,93,0,0,1
Near West Side,26075451,19,41.87901551,-87.64065112,2,1,26,79,0,0,0
Loop,26079386,999,41.88656344,-87.63457932,8,3,15,87,0,0,1
South Lawndale,26079754,75,41.85053954,-87.70073552,4,2,24,95,0,0,1
Loop,26080730,999,41.86911977,-87.62670231,6,2,18,94,0,0,1
Kenwood,26083664,140,41.80450952,-87.58644244,2,1,4,90,0,0,0
Loop,26088249,150,41.87163744,-87.62607529,4,1,8,94,0,0,1
Hyde Park,26100471,99,41.79689015,-87.59679666,3,1,14,100,1,0,1
Near South Side,26100761,235,41.86594039,-87.62422823,4,2,4,95,0,0,1
South Lawndale,26102179,55,41.8486218,-87.6995802,2,0,26,94,0,0,1
Bridgeport,26106260,90,41.84505884,-87.64056536,3,2,29,92,0,0,1
West Town,26109012,45,41.90536321,-87.68863078,3,1,5,100,0,0,0
Near North Side,26109045,75,41.90474448,-87.62962284,3,0,14,89,0,0,1
Near West Side,26110375,75,41.87317674,-87.68472744,2,1,2,100,0,0,0
Armour Square,26111681,180,41.85168984,-87.63241812,7,2,5,100,1,0,1
Lincoln Park,26123552,275,41.93021624,-87.66857722,6,3,0,,0,0,1
Irving Park,26132170,38,41.9543852,-87.71371629,2,1,9,98,1,0,0
Belmont Cragin,26133668,75,41.91891345,-87.77899786,2,1,3,100,1,0,0
Belmont Cragin,26133988,75,41.91821647,-87.77925701,2,1,3,100,1,0,0
Belmont Cragin,26134184,270,41.91992556,-87.78037988,8,4,0,,1,0,0
South Shore,26135523,95,41.75594409,-87.57619907,7,3,7,80,0,0,1
Lincoln Square,26135805,99,41.97354382,-87.6882672,8,3,5,92,0,0,1
West Englewood,26137459,49,41.76221852,-87.65631265,4,1,27,99,0,0,0
West Englewood,26137585,49,41.76094229,-87.65535297,5,1,29,97,0,0,0
Lake View,26137771,99,41.94174813,-87.6504263,2,1,2,100,0,0,0
Hermosa,26138846,50,41.91549458,-87.72907316,2,1,3,100,1,0,0
Loop,26145686,345,41.8860104,-87.63384212,6,2,0,,0,0,1
Humboldt Park,26152870,282,41.91364794,-87.70769935,8,4,9,100,0,0,1
Avondale,26159573,120,41.94209661,-87.72564039,1,1,0,,0,0,0
Near West Side,26160964,65,41.87859372,-87.68011591,2,1,1,100,0,0,0
Near North Side,26162510,750,41.90272494,-87.6249418,8,3,0,,1,0,1
Near North Side,26162701,750,41.90253093,-87.62661776,8,3,0,,1,0,1
Calumet Heights,26162767,16,41.7283044,-87.57840818,1,1,4,100,0,1,0
Rogers Park,26164856,49,42.01394945,-87.67877492,5,1,34,95,0,0,1
West Town,26165833,93,41.89200246,-87.67391794,3,1,2,100,0,0,1
West Town,26167709,120,41.90131986,-87.6795341,4,1,12,97,1,0,1
Uptown,26169714,60,41.95674748,-87.6550916,2,0,17,91,0,0,1
Portage Park,26169863,36,41.95348743,-87.75009438,1,1,0,,0,0,0
Douglas,26170611,89,41.84281871,-87.62026037,4,1,6,88,0,0,1
North Center,26176536,150,41.95418864,-87.67630457,2,1,25,97,1,0,1
West Town,26180215,140,41.90741689,-87.6710134,4,1,8,100,1,0,1
Near West Side,26183955,60,41.87094763,-87.6566354,2,1,37,96,1,0,0
West Town,26184943,100,41.89390641,-87.68870975,4,1,3,100,0,0,0
Irving Park,26186206,99,41.96537317,-87.73685041,3,1,9,98,1,0,1
Norwood Park,26192394,125,41.98601792,-87.77929412,4,1,18,99,1,0,1
Portage Park,26194762,100,41.96636178,-87.76679661,4,2,11,91,0,0,1
Humboldt Park,26196932,33,41.9094641,-87.71240459,1,1,18,92,1,0,0
West Town,26197363,159,41.89600155,-87.66189752,6,1,17,94,1,0,1
Douglas,26198663,45,41.82860507,-87.61961057,2,1,18,89,0,0,0
West Town,26199959,250,41.89392678,-87.66233154,8,0,11,93,0,0,1
West Town,26201845,89,41.90213148,-87.66930092,2,1,11,100,1,0,0
West Town,26202303,399,41.91237148,-87.67985427,6,3,11,100,1,0,1
West Town,26216553,40,41.89673976,-87.68929903,2,1,15,92,0,0,0
Edgewater,26218103,47,41.99396624,-87.65812759,2,1,6,100,0,0,0
Uptown,26221841,70,41.95563416,-87.65357296,2,1,11,100,1,0,0
Avondale,26227582,120,41.93282552,-87.70394871,3,2,13,100,1,0,1
East Garfield Park,26228108,70,41.88610993,-87.70350917,4,1,17,100,1,0,1
Logan Square,26230933,86,41.91607711,-87.69983722,4,2,10,86,0,0,1
Lincoln Park,26234305,150,41.91260786,-87.64146915,5,2,11,96,0,0,1
Austin,26234572,85,41.91354688,-87.79006087,2,0,6,100,1,0,1
West Englewood,26234971,25,41.76117488,-87.65578544,2,1,19,100,0,1,0
West Town,26235366,55,41.90079941,-87.69951775,2,1,0,,1,0,0
West Town,26249847,70,41.89445875,-87.68041275,2,1,5,100,0,0,0
West Ridge,26251178,99,42.01242992,-87.68586824,5,2,28,99,1,0,1
Lincoln Park,26252870,120,41.92622693,-87.66881822,4,1,16,98,1,0,1
Near West Side,26253486,80,41.86808646,-87.6614299,1,1,8,100,1,0,0
Uptown,26256457,100,41.96486075,-87.64972865,3,1,7,97,0,0,1
Uptown,26256556,100,41.96361229,-87.6495387,3,1,14,94,0,0,1
Uptown,26256629,100,41.97066991,-87.66172701,3,1,11,98,0,0,1
Uptown,26256724,100,41.97178897,-87.6597733,2,0,11,93,0,0,1
Uptown,26256844,99,41.97073545,-87.66033404,2,0,11,95,0,0,1
Uptown,26257014,99,41.97234787,-87.66152283,2,0,16,96,0,0,1
Near North Side,26257688,475,41.89307923,-87.61580685,6,2,1,100,0,0,1
Greater Grand Crossing,26259593,30,41.76328522,-87.59808102,8,1,2,90,0,1,0
Logan Square,26272268,42,41.92503009,-87.69174549,2,1,5,100,0,0,0
Near North Side,26273349,100,41.90685267,-87.63372252,2,0,15,95,0,0,1
West Town,26274520,120,41.89928568,-87.68940213,4,1,2,100,0,0,1
Edgewater,26276109,77,41.99199233,-87.6569538,4,2,11,100,0,0,1
Bridgeport,26279818,29,41.82686395,-87.64453914,1,1,6,97,0,1,0
Mckinley Park,26291814,70,41.83418196,-87.66943872,4,2,6,80,0,0,1
Logan Square,26296254,149,41.91947954,-87.68631276,2,2,6,83,0,0,1
Uptown,26305228,99,41.9561729,-87.65199387,3,0,22,98,1,0,1
Rogers Park,26319300,46,42.00947671,-87.67276867,2,1,1,,0,0,0
Logan Square,26320764,149,41.92877998,-87.69926127,8,3,14,100,1,0,1
West Town,26324097,105,41.9121603,-87.69839122,4,2,6,100,0,0,1
Near North Side,26326135,153,41.88905625,-87.62683215,4,1,15,99,1,0,1
Avondale,26332847,23,41.93833411,-87.71043763,1,1,10,90,1,1,0
West Town,26333712,350,41.89165343,-87.6447182,4,2,1,,0,0,1
Lake View,26333943,120,41.94773581,-87.64559782,4,1,4,100,0,0,1
West Town,26335071,172,41.91067657,-87.67608331,4,2,1,,0,0,1
Near North Side,26336300,199,41.89053138,-87.62335261,4,1,12,100,0,0,1
Humboldt Park,26337715,90,41.90282246,-87.70744718,6,2,27,93,0,0,1
Lincoln Park,26338889,230,41.93085419,-87.64458285,8,3,27,96,0,0,1
Near West Side,26341329,50,41.8741112,-87.6848328,2,1,11,95,0,0,0
Lake View,26353701,899,41.95298734,-87.65714987,16,9,0,,1,0,1
Near West Side,26355894,50,41.87468144,-87.68343761,2,1,11,87,0,0,0
Loop,26357681,210,41.88582507,-87.61981297,4,1,3,87,0,0,1
South Lawndale,26357782,50,41.85528903,-87.69104752,1,1,1,80,0,0,0
West Town,26360998,89,41.90397647,-87.66472426,3,1,17,96,1,0,1
Edgewater,26361748,65,41.99356885,-87.65780637,2,0,7,95,0,0,1
Lake View,26364102,250,41.93858275,-87.67015606,4,2,0,,0,0,1
Lower West Side,26364938,150,41.8559693,-87.66172389,2,1,5,88,0,0,0
Lincoln Park,26365776,103,41.92956292,-87.64315484,3,1,2,60,0,0,1
Near North Side,26366829,250,41.89211058,-87.6347438,4,1,1,80,0,0,1
Near North Side,26370161,225,41.89264906,-87.61730804,2,1,0,,1,0,1
Jefferson Park,26371404,150,41.9809598,-87.77230863,10,4,13,100,1,0,1
West Town,26382975,199,41.8946831,-87.65146515,4,2,3,100,0,0,1
Near North Side,26387006,149,41.90062689,-87.63174809,4,1,7,77,0,0,1
East Garfield Park,26393376,35,41.88593086,-87.70762822,2,1,18,88,0,0,0
East Garfield Park,26393404,35,41.88399017,-87.70907995,2,1,13,78,0,0,0
East Garfield Park,26394598,30,41.88464184,-87.70924144,2,1,14,89,0,0,0
West Town,26396643,117,41.90740656,-87.69045882,6,2,15,95,0,0,1
Hyde Park,26398429,45,41.7941227,-87.58392115,2,1,0,,0,0,0
Logan Square,26398972,105,41.92804611,-87.71582302,5,2,19,100,1,0,1
Edgewater,26399033,20,41.98429879,-87.67161439,1,1,7,89,0,0,0
Irving Park,26402837,55,41.95930438,-87.73144865,2,0,11,96,1,0,0
Lincoln Square,26403282,59,41.9634697,-87.68838373,2,1,3,73,0,0,0
Grand Boulevard,26408284,100,41.81660373,-87.62148119,6,4,4,70,0,0,0
West Town,26410912,45,41.90060021,-87.70111513,2,1,0,,1,0,0
Near South Side,26416251,325,41.85192502,-87.62354851,3,1,4,100,1,0,1
Irving Park,26416748,79,41.94085702,-87.7273463,5,2,14,94,0,0,1
West Town,26420661,99,41.90742034,-87.67273631,5,2,25,94,1,0,1
West Town,26420762,99,41.90865969,-87.67382204,5,2,21,95,1,0,1
West Town,26421984,299,41.90348735,-87.67023824,8,3,8,100,0,0,1
West Town,26422842,199,41.89917818,-87.66526927,6,2,16,89,0,0,1
Grand Boulevard,26423544,99,41.8166597,-87.61703755,4,2,0,,0,0,0
Kenwood,26423555,99,41.8034434,-87.58655331,3,1,14,84,1,0,1
Chicago Lawn,26423697,44,41.77660275,-87.69815388,2,1,7,80,0,0,0
Kenwood,26423798,99,41.80456241,-87.5847509,3,1,17,95,1,0,1
Bridgeport,26425491,75,41.84531858,-87.63898483,5,2,18,94,0,0,1
Jefferson Park,26428768,80,41.97117197,-87.77231904,2,0,26,87,0,0,1
West Ridge,26430757,1000,42.01778498,-87.70135198,8,4,2,90,1,0,1
Near South Side,26437193,300,41.85908293,-87.61927816,5,3,9,100,0,0,1
Lincoln Square,26443561,185,41.96385471,-87.6797713,6,3,5,100,0,0,1
Lake View,26444134,249,41.95268046,-87.66045644,8,3,12,100,1,0,1
West Town,26445394,275,41.88971551,-87.64999105,8,3,25,98,1,0,1
West Town,26447854,199,41.91028131,-87.6872082,8,3,0,,0,0,1
Austin,26449065,80,41.88987482,-87.75188047,2,1,0,,0,0,0
West Town,26450089,195,41.89047092,-87.65360939,4,1,10,93,0,0,1
Hyde Park,26453302,35,41.79358072,-87.58450285,1,1,1,100,0,0,0
Lincoln Park,26466473,60,41.92788637,-87.67047296,3,1,3,100,0,0,0
Logan Square,26467060,200,41.92774086,-87.72112149,6,2,18,99,1,0,1
Grand Boulevard,26471051,299,41.81248541,-87.61128052,10,4,9,100,0,0,1
Lincoln Park,26471702,100,41.92844579,-87.65086364,4,1,10,84,0,0,1
West Town,26474314,175,41.90724895,-87.67598094,7,2,13,98,0,0,0
